Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
ABCAPITAL-I.NFO,12/09/2022,10:17:56,116.65,116.6,5400,116.75,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:18:14,116.65,116.7,5400,116.75,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:18:33,116.7,116.65,5400,116.8,10800,5400,23900400
ABCAPITAL-I.NFO,12/09/2022,10:18:50,116.7,116.65,5400,116.8,10800,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:19:58,116.7,116.65,10800,116.85,27000,5400,23900400
ABCAPITAL-I.NFO,12/09/2022,10:20:16,116.7,116.65,10800,116.85,21600,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:20:34,116.8,116.65,10800,116.85,16200,5400,23900400
ABCAPITAL-I.NFO,12/09/2022,10:20:52,116.8,116.65,10800,116.85,16200,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:21:14,116.8,116.65,10800,116.8,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:21:43,116.8,116.65,10800,116.8,10800,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:22:09,116.8,116.65,10800,116.85,16200,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:22:37,116.65,116.65,5400,116.75,5400,10800,23895000
ABCAPITAL-I.NFO,12/09/2022,10:22:58,116.65,116.65,5400,116.75,5400,0,23895000
ABCAPITAL-I.NFO,12/09/2022,10:23:16,116.7,116.65,5400,116.75,5400,5400,23895000
ABCAPITAL-I.NFO,12/09/2022,10:23:33,116.7,116.65,16200,116.7,5400,0,23895000
ABCAPITAL-I.NFO,12/09/2022,10:23:48,116.7,116.65,16200,116.8,5400,5400,23889600
ABCAPITAL-I.NFO,12/09/2022,10:24:04,116.7,116.65,16200,116.75,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:24:36,116.75,116.65,16200,116.8,5400,5400,23889600
ABCAPITAL-I.NFO,12/09/2022,10:25:03,116.75,116.65,16200,116.8,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:26:08,116.7,116.65,16200,116.75,5400,5400,23889600
ABCAPITAL-I.NFO,12/09/2022,10:26:27,116.75,116.65,16200,116.75,5400,5400,23889600
ABCAPITAL-I.NFO,12/09/2022,10:26:45,116.75,116.65,16200,116.75,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:27:34,116.75,116.65,16200,116.8,5400,5400,23878800
ABCAPITAL-I.NFO,12/09/2022,10:27:52,116.8,116.65,16200,116.8,5400,5400,23878800
ABCAPITAL-I.NFO,12/09/2022,10:28:10,116.8,116.7,5400,116.8,5400,0,23878800
ABCAPITAL-I.NFO,12/09/2022,10:28:28,116.8,116.7,21600,116.85,10800,5400,23878800
ABCAPITAL-I.NFO,12/09/2022,10:28:45,117.05,116.85,16200,117.05,5400,70200,23878800
ABCAPITAL-I.NFO,12/09/2022,10:28:45,117.05,116.85,16200,117.05,5400,0,23878800
ABCAPITAL-I.NFO,12/09/2022,10:28:59,117,116.85,16200,117.05,10800,5400,23878800
